KEGGgene	EC	Organism
reh:H16_A0377	ec:3.2.2.23	Cupriavidus
reh:H16_A0377	ec:4.2.99.18	Cupriavidus
reh:H16_A3149	ec:2.1.1.193	Cupriavidus
reh:H16_B1562	ec:2.4.1.1	Cupriavidus
reh:H16_B1458	ec:2.7.13.3	Cupriavidus
reh:H16_B1195	ec:1.1.1.284	Cupriavidus
reh:H16_B1195	ec:1.1.1.1	Cupriavidus
reh:H16_A2133	ec:1.1.1.93	Cupriavidus
reh:H16_A2133	ec:4.1.1.73	Cupriavidus
reh:H16_A2133	ec:1.1.1.83	Cupriavidus
reh:H16_A0587	ec:2.7.13.3	Cupriavidus
reh:H16_B2277	ec:1.7.2.1	Cupriavidus
reh:H16_B2277	ec:1.7.99.1	Cupriavidus
reh:H16_A2053	ec:2.7.4.22	Cupriavidus
reh:H16_A2088	ec:2.7.7.41	Cupriavidus
reh:H16_A2269	ec:1.11.1.24	Cupriavidus
reh:H16_A2744	ec:2.7.1.39	Cupriavidus
reh:H16_A2457	ec:6.2.1.32	Cupriavidus
reh:H16_A2565	ec:2.3.1.179	Cupriavidus
reh:H16_A0235	ec:4.1.99.17	Cupriavidus
reh:H16_A1218	ec:5.2.1.8	Cupriavidus
reh:H16_A1499	ec:5.2.1.8	Cupriavidus
reh:H16_A0169	ec:4.2.1.1	Cupriavidus
reh:H16_B0895	ec:2.7.13.3	Cupriavidus
reh:H16_A0116	ec:3.4.16.4	Cupriavidus
reh:H16_A0126	ec:3.5.2.9	Cupriavidus
reh:H16_A0136	ec:2.7.1.33	Cupriavidus
reh:H16_A0161	ec:1.8.4.15	Cupriavidus
reh:H16_A2110	ec:1.8.5.9	Cupriavidus
reh:H16_B2275	ec:4.2.1.33	Cupriavidus
reh:H16_B2275	ec:4.2.1.35	Cupriavidus
reh:H16_B2276	ec:4.2.1.33	Cupriavidus
reh:H16_B2276	ec:4.2.1.35	Cupriavidus
reh:H16_A2667	ec:5.6.2.2	Cupriavidus
reh:H16_B2403	ec:4.2.1.1	Cupriavidus
reh:H16_A2669	ec:5.6.2.2	Cupriavidus
reh:H16_B0102	ec:1.18.1.2	Cupriavidus
reh:H16_B0102	ec:1.19.1.1	Cupriavidus
reh:H16_A2376	ec:3.1.3.5	Cupriavidus
reh:H16_A2042	ec:2.4.1.182	Cupriavidus
reh:H16_A0379	ec:3.2.2.31	Cupriavidus
reh:H16_A2452	ec:6.3.5.5	Cupriavidus
reh:H16_B1198	ec:1.1.5.3	Cupriavidus
reh:H16_A3009	ec:4.1.1.12	Cupriavidus
reh:H16_A0999	ec:3.1.3.11	Cupriavidus
reh:H16_A2981	ec:4.1.1.9	Cupriavidus
reh:H16_A2987	ec:4.2.1.9	Cupriavidus
reh:H16_A2990	ec:3.4.11.1	Cupriavidus
reh:H16_A2997	ec:1.8.4.8	Cupriavidus
reh:H16_A2997	ec:1.8.4.10	Cupriavidus
reh:H16_A3012	ec:3.1.1.17	Cupriavidus
reh:H16_A3013	ec:3.5.1.68	Cupriavidus
reh:H16_A3014	ec:3.5.3.13	Cupriavidus
reh:H16_A3015	ec:3.5.2.7	Cupriavidus
reh:H16_A2039	ec:2.7.4.28	Cupriavidus
reh:H16_A2039	ec:2.7.11.33	Cupriavidus
reh:H16_A3017	ec:4.2.1.49	Cupriavidus
reh:H16_A3018	ec:4.3.1.3	Cupriavidus
reh:H16_A3036	ec:1.4.3.16	Cupriavidus
reh:H16_A3037	ec:2.4.2.19	Cupriavidus
reh:H16_A3039	ec:1.14.19.1	Cupriavidus
reh:H16_A3046	ec:6.1.1.5	Cupriavidus
reh:H16_A3047	ec:3.4.23.36	Cupriavidus
reh:H16_A3049	ec:3.6.1.23	Cupriavidus
reh:H16_A3056	ec:1.1.1.42	Cupriavidus
reh:H16_A3061	ec:1.3.1.98	Cupriavidus
reh:H16_A3070	ec:2.5.1.75	Cupriavidus
reh:H16_A3075	ec:3.5.2.2	Cupriavidus
reh:H16_A3077	ec:6.3.3.1	Cupriavidus
reh:H16_A3081	ec:2.7.7.19	Cupriavidus
reh:H16_A3082	ec:2.7.6.3	Cupriavidus
reh:H16_A3084	ec:2.1.2.11	Cupriavidus
reh:H16_A3091	ec:1.1.2.4	Cupriavidus
reh:H16_A3094	ec:1.1.3.15	Cupriavidus
reh:H16_A3106	ec:1.5.1.2	Cupriavidus
reh:H16_A3113	ec:2.4.2.29	Cupriavidus
reh:H16_A3124	ec:4.3.2.2	Cupriavidus
reh:H16_A3125	ec:2.5.1.18	Cupriavidus
reh:H16_A3126	ec:2.8.1.13	Cupriavidus
reh:H16_A3129	ec:4.1.1.11	Cupriavidus
reh:H16_A3139	ec:6.1.1.4	Cupriavidus
reh:H16_A3141	ec:1.17.1.8	Cupriavidus
reh:H16_A3146	ec:1.2.1.12	Cupriavidus
reh:H16_A3147	ec:2.2.1.1	Cupriavidus
reh:H16_A3154	ec:2.7.4.16	Cupriavidus
reh:H16_A3157	ec:4.1.1.23	Cupriavidus
reh:H16_A3161	ec:1.1.1.25	Cupriavidus
reh:H16_A3184	ec:5.3.2.6	Cupriavidus
reh:H16_A3242	ec:2.4.2.8	Cupriavidus
reh:H16_A3244	ec:1.14.11.2	Cupriavidus
reh:H16_A3246	ec:6.1.1.15	Cupriavidus
reh:H16_A3249	ec:2.7.2.11	Cupriavidus
reh:H16_A3258	ec:2.7.1.24	Cupriavidus
reh:H16_A3271	ec:6.3.2.4	Cupriavidus
reh:H16_A3272	ec:6.3.2.8	Cupriavidus
reh:H16_A3275	ec:6.3.2.9	Cupriavidus
reh:H16_A3276	ec:2.7.8.13	Cupriavidus
reh:H16_A3277	ec:6.3.2.10	Cupriavidus
reh:H16_A3278	ec:6.3.2.13	Cupriavidus
reh:H16_A3288	ec:6.2.1.3	Cupriavidus
reh:H16_A3408	ec:3.6.1.31	Cupriavidus
reh:H16_A3409	ec:3.5.4.19	Cupriavidus
reh:H16_A3411	ec:5.3.1.16	Cupriavidus
reh:H16_A3414	ec:4.2.1.19	Cupriavidus
reh:H16_A3415	ec:2.6.1.9	Cupriavidus
reh:H16_A3416	ec:1.1.1.23	Cupriavidus
reh:H16_A3417	ec:2.4.2.17	Cupriavidus
reh:H16_A3418	ec:2.5.1.7	Cupriavidus
reh:H16_A3617	ec:3.6.4.12	Cupriavidus
reh:H16_A3433	ec:3.1.5.1	Cupriavidus
reh:H16_A3434	ec:4.2.3.4	Cupriavidus
reh:H16_A3435	ec:2.7.1.71	Cupriavidus
reh:H16_A3443	ec:4.1.1.20	Cupriavidus
reh:H16_A3709	ec:2.7.13.3	Cupriavidus
