KEGGgene	UniProt	Organism
reh:H16_A0001	up:Q0KFR8	Cupriavidus
reh:H16_A0002	up:Q0KFR7	Cupriavidus
reh:H16_A0003	up:Q0KFR6	Cupriavidus
reh:H16_A0004	up:Q0KFR5	Cupriavidus
reh:H16_A0005	up:Q0KFR4	Cupriavidus
reh:H16_A0006	up:Q0KFR3	Cupriavidus
reh:H16_A0007	up:Q0KFR2	Cupriavidus
reh:H16_A0008	up:Q0KFR1	Cupriavidus
reh:H16_A0009	up:Q0KFR0	Cupriavidus
reh:H16_A0010	up:Q0KFQ9	Cupriavidus
reh:H16_A0011	up:Q0KFQ8	Cupriavidus
reh:H16_A0012	up:Q0KFQ7	Cupriavidus
reh:H16_A0013	up:Q0KFQ6	Cupriavidus
reh:H16_A0014	up:Q0KFQ5	Cupriavidus
reh:H16_A0015	up:Q0KFQ4	Cupriavidus
reh:H16_A0016	up:Q0KFQ3	Cupriavidus
reh:H16_A0017	up:Q0KFQ2	Cupriavidus
reh:H16_A0018	up:Q0KFQ1	Cupriavidus
reh:H16_A0019	up:Q0KFQ0	Cupriavidus
reh:H16_A0020	up:Q0KFP9	Cupriavidus
reh:H16_A0021	up:Q0KFP8	Cupriavidus
reh:H16_A0022	up:Q0KFP7	Cupriavidus
reh:H16_A0023	up:Q0KFP6	Cupriavidus
reh:H16_A0024	up:Q0KFP5	Cupriavidus
reh:H16_A0025	up:Q0KFP4	Cupriavidus
reh:H16_A0026	up:Q0KFP3	Cupriavidus
reh:H16_A0027	up:Q0KFP2	Cupriavidus
reh:H16_A0028	up:Q0KFP1	Cupriavidus
reh:H16_A0029	up:Q0KFP0	Cupriavidus
reh:H16_A0030	up:Q0KFN9	Cupriavidus
reh:H16_A0031	up:Q0KFN8	Cupriavidus
reh:H16_A0032	up:Q0KFN7	Cupriavidus
reh:H16_A0033	up:Q0KFN6	Cupriavidus
reh:H16_A0034	up:Q0KFN5	Cupriavidus
reh:H16_A0035	up:Q0KFN4	Cupriavidus
reh:H16_A0036	up:Q0KFN3	Cupriavidus
reh:H16_A0037	up:Q0KFN2	Cupriavidus
reh:H16_A0038	up:Q0KFN1	Cupriavidus
reh:H16_A0039	up:Q0KFN0	Cupriavidus
reh:H16_A0040	up:Q0KFM9	Cupriavidus
reh:H16_A0041	up:Q0KFM8	Cupriavidus
reh:H16_A0042	up:Q0KFM7	Cupriavidus
reh:H16_A0043	up:Q0KFM6	Cupriavidus
reh:H16_A0044	up:Q0KFM5	Cupriavidus
reh:H16_A0045	up:Q0KFM4	Cupriavidus
reh:H16_A0046	up:Q0KFM3	Cupriavidus
reh:H16_A0047	up:Q0KFM2	Cupriavidus
reh:H16_A0048	up:Q0KFM1	Cupriavidus
reh:H16_A0049	up:Q0KFM0	Cupriavidus
reh:H16_A0050	up:Q0KFL9	Cupriavidus
reh:H16_A0051	up:Q0KFL8	Cupriavidus
reh:H16_A0052	up:Q0KFL7	Cupriavidus
reh:H16_A0053	up:Q0KFL6	Cupriavidus
reh:H16_A0054	up:Q0KFL5	Cupriavidus
reh:H16_A0055	up:Q0KFL4	Cupriavidus
reh:H16_A0056	up:Q0KFL3	Cupriavidus
reh:H16_A0057	up:Q0KFL2	Cupriavidus
reh:H16_A0058	up:Q0KFL1	Cupriavidus
reh:H16_A0059	up:Q0KFL0	Cupriavidus
reh:H16_A0060	up:Q0KFK9	Cupriavidus
reh:H16_A0061	up:Q0KFK8	Cupriavidus
reh:H16_A0062	up:Q0KFK7	Cupriavidus
reh:H16_A0063	up:Q0KFK6	Cupriavidus
reh:H16_A0064	up:Q0KFK5	Cupriavidus
reh:H16_A0065	up:Q0KFK4	Cupriavidus
reh:H16_A0066	up:Q0KFK3	Cupriavidus
reh:H16_A0067	up:Q0KFK2	Cupriavidus
reh:H16_A0068	up:Q0KFK1	Cupriavidus
reh:H16_A0069	up:Q0KFK0	Cupriavidus
reh:H16_A0070	up:Q0KFJ9	Cupriavidus
reh:H16_A0071	up:Q0KFJ8	Cupriavidus
reh:H16_A0072	up:Q0KFJ7	Cupriavidus
reh:H16_A0073	up:Q0KFJ6	Cupriavidus
reh:H16_A0074	up:Q0KFJ5	Cupriavidus
reh:H16_A0075	up:Q0KFJ4	Cupriavidus
reh:H16_A0076	up:Q0KFJ3	Cupriavidus
reh:H16_A0077	up:Q0KFJ2	Cupriavidus
reh:H16_A0078	up:Q0KFJ1	Cupriavidus
reh:H16_A0079	up:Q0KFJ0	Cupriavidus
reh:H16_A0080	up:Q0KFI9	Cupriavidus
reh:H16_A0081	up:Q0KFI8	Cupriavidus
reh:H16_A0082	up:Q0KFI7	Cupriavidus
reh:H16_A0083	up:Q0KFI6	Cupriavidus
reh:H16_A0084	up:Q0KFI5	Cupriavidus
reh:H16_A0085	up:Q0KFI4	Cupriavidus
reh:H16_A0086	up:Q0KFI3	Cupriavidus
reh:H16_A0087	up:Q0KFI2	Cupriavidus
reh:H16_A0088	up:Q0KFI1	Cupriavidus
reh:H16_A0089	up:Q0KFI0	Cupriavidus
reh:H16_A0090	up:Q0KFH9	Cupriavidus
reh:H16_A0091	up:Q0KFH8	Cupriavidus
reh:H16_A0092	up:Q0KFH7	Cupriavidus
reh:H16_A0093	up:Q0KFH6	Cupriavidus
reh:H16_A0094	up:Q0KFH5	Cupriavidus
reh:H16_A0095	up:Q0KFH4	Cupriavidus
reh:H16_A0096	up:Q0KFH3	Cupriavidus
reh:H16_A0097	up:Q0KFH2	Cupriavidus
