Name	Abbreviation	EC
Glyceraldehyde 3-phosphate dehydrogenase	GAPDH	1.2.1.12
Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	1.2.1.59
Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	1.2.1.13
Transketolase	TKT	2.2.1.1
Phosphoribulokinase	PRK	2.7.1.19
Phosphoglycerate kinase	PGK	2.7.2.3
Fructose-1,6-bisphosphatase	FBPase	3.1.3.11
Sedoheptulose-1,7-bisphosphatase	SBPase	3.1.3.37
Ribulose-bisphosphate carboxylase	Rubisco	4.1.1.39
Fructose-bisphosphate aldolase	FBA	4.1.2.13
Ribose 5-phosphate isomerase	RPI	5.3.1.6
Transaldolase	TAL	2.2.1.2
Triose-phosphate isomerase	TPI	5.3.1.1
Ribulose-phosphate 3-epimerase	RPE	5.1.3.1
