ko:K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
ko:K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
ko:K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]
ko:K00855	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]
ko:K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
ko:K01086	fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]
ko:K01100	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
ko:K01601	rbcL, cbbL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
ko:K01602	rbcS, cbbS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]
ko:K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
ko:K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
ko:K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]
ko:K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]
ko:K02446	glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]
ko:K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]
ko:K05298	GAPA; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]
ko:K11532	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]
ko:K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]
ko:K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
