Q0K5M6	atpG
Q0K3S6	mhpF
Q8KLU8	aceK
Q0KBK4	clpP
Q0K5M7	atpD
Q0K7F5	pepA
Q0KDR8	groS
P27745	acoA
Q9X6U2	hbdH1
Q0K793	clpS
P27748	acoX
Q0KF09	ttcA
P27746	acoB
Q0KBP1	bktB
Q04540	cbxXP
Q0KF88	bioF
P52992	odhL
Q0K8N7	acpS
Q8VM97	crcB
Q0KDR7	groL
P27747	acoC
Q0K7M0	argH
Q0K7L4	dcd
Q0KBW5	folD
Q0K998	ugpC
Q0KD76	trhO
Q0KBK3	clpX
Q0K739	ubiA
Q0K844	sauT
Q0K846	sauR
Q0K7S4	uppP
Q0K5M5	atpA
Q0K572	cynS
Q0KED8	rpsI
Q0K7N2	pyrB
Q0KF86	bioB
Q0K8Y4	rlmE
Q0KCP6	ureC
Q0KEX1	dctA
Q0K623	rpsS
Q0K8M2	acpP
Q0K5N1	hemE
Q0KEQ3	coaD
Q0K860	dxs
Q0K181	fdhE
Q0KEM6	apt
Q0K6L4	coq7
Q0K9W2	dsbB
Q0KDH9	aroA
Q0K651	engB
Q0KC14	aroC
Q0K5P5	gcvT
Q7WXC1	ccmA
Q0K5M3	atpF
Q0K8N9	efp
Q0KED6	erpA
Q0KA17	tsf
Q0KCA7	accA
Q0K7H7	cobT
P42722	cfxR
P19924	cfxP
Q0KBD2	denD
P31638	acsA
Q0K4N8	flhD
Q0K9E3	lexA
Q0KBT2	aat
Q0K692	hisA
Q0K7G0	lgt
Q0KF07	glmU
Q0K848	thrB
Q0K689	hisB
Q0K9B9	infB
Q0KER8	ctaB
Q0K4F6	dtnK
Q0K2R3	flhC
P19911	fbp2
P46368	acoD
Q0K757	dnaK
Q0K2K6	kup2
Q7WXB8	ccmE
Q0KCE4	kdsA
Q0KFE6	lipA
Q0KCE1	ftsB
Q0KA05	dapD
Q0KCY0	fbp1
P50322	cbbGP
P28614	acoR
P19912	fbp3
Q0KE19	kdsB
Q0K5M4	atpH
Q0K8F5	mdh
Q0K6M6	ddl
P40853	cbbZP
P40119	cbbYC
P50321	cbbGC
Q0KFF8	gatA
Q59100	cbbAC
Q0K1H0	acdS
Q0KDH0	hldD
P31892	hoxK
Q0KA22	dxr
Q0KDG3	metN
Q0K5Z9	tuf1
Q0K5Z9	tuf2
Q0K8L9	fabH
Q0KEP4	mutM
Q0KF58	metXS
P40852	cbbZC
P19923	cfxP
Q0K0X8	glgB
Q0K661	cyaY
Q0KCS7	nuoD
Q0KFM5	hutG
Q0KBM9	ispF
Q0KCC0	mutS
Q0K9H3	phaZ2
P31899	hoxL
Q0K693	hisF
Q0KFG1	gatB
P31909	hoxM
P31914	hoxV
Q0K0V6	metE
Q0KFE7	lipB
Q0KF42	dapF
Q0K6H7	acyP
Q0KCG7	hscA
Q0K6N1	lpxC
O87816	fdhD
Q0KA28	lpxA
Q0JYN7	ku
P31903	hypD
Q0KFR8	dnaA
Q0KED0	dtd
Q0KBC7	ltnD
Q0K9V9	alr
Q0K8D7	htpG
Q0K8Z9	infA1
Q0KBT3	bpt
Q0KBR7	kup1
P45805	hypF1
Q0K799	lspA
P31902	hypB
Q0K8N0	lepA
Q0K3N2	bpHI
Q0KF69	hslU
Q0K391	nadX
Q0KCS0	nuoK
Q0K6M4	murG
P50320	cbbKP
Q0KE17	lpxK
Q9K4V0	norR1
Q0K971	hisZ
Q0KBC0	tmk
Q0K686	hisG
Q0K4F5	pdxA2
Q0JZW8	infA3
Q0KFI5	minE
Q04541	cbbYP
Q0K8S4	mliC
P40118	cbxXC
P31900	hypC
Q0K7Z0	pdxH
P31891	hoxG
Q0KBC8	otnK
Q0K6G3	hemA
P31905	hypE
Q0KA27	fabZ
O68273	dusC
Q07251	ldh
Q0KDL8	lolA
Q0K861	folE2
Q0KCE2	eno
Q0KCT8	leuA
Q0K776	miaA
Q0KF39	metK
Q0KDN9	hemL
P31913	hoxT
P31910	hoxO
P22317	hoxF
Q0K705	dapB
P22319	hoxY
Q0KBB2	azoR
Q0K694	hisI
P52993	sucB
Q59106	odhA
Q0K4I1	phnC1
Q0KE68	moaC
Q0K5L6	mnmG
Q0KE93	miaB
Q0K5M8	atpC
Q0K7W8	queC
Q0KF61	argB
Q0KCS3	nuoH
Q0K2D1	pqqB
Q9K4U8	norR2
Q0K6M1	mraY
Q7WXK8	kup3
Q0KBC9	otnC
Q0KCU2	ilvC
Q0K6M5	murC
Q0K0L8	hmgA
Q0KFF7	gatC
Q0K645	rpoA
Q0K815	katG
Q0KD22	rpoZ
Q0KBZ0	rplT
P22320	hoxH
P23608	phaC
Q0K762	panB
Q0K7X9	kynB
Q0K7W0	glyA
O34162	hemN
Q0KF16	cca
Q0K695	hisE
Q0KB67	pcm1
Q0KCS8	nuoC
O07451	hypF2
Q0KDL6	adh
Q0KET8	gpmA
Q0K1N8	phnC2
Q0K967	hfq
Q0KEN8	hprK
Q0KA02	dapE
Q0KEB0	lptD
Q0KBK6	mnmC
Q0K640	infA2
Q0K958	ndk
Q0KFG6	mnmE
Q0KCS2	nuoI
P31898	hoxZ
Q0KBD1	otnI
Q0K685	murA
Q59098	pdhB
P50319	cbbKC
Q0KEP7	ispE
Q0K8Y7	glmM
Q0KCS9	nuoB
P14697	phaB
Q0K959	rlmN
Q0K6P4	rplU
Q0K929	rpmE2
Q0KA43	guaA
Q0KBP2	rimO
Q0KEC0	purH
Q0KBZ3	thrS
Q0K637	rpmD
Q59097	pdhA
Q0K6A4	mscL
Q0KD64	rlmH
Q0KCT4	pnp
P31901	hypA
Q0K669	aroB
Q0K6Y5	aroE
Q0K8L8	plsX
Q0K646	rplQ
Q0KE35	plsY
Q0K980	rpiA
Q0KDH7	cmk
Q0K437	nhaA
Q0K635	rplR
Q0JY21	prfC
Q0KD78	rplS
P42721	cbbL2
Q0K606	rpoB
Q0KCT5	rpsO
Q0KED9	rplM
Q0K7V9	nrdR
Q0K8H3	truA
Q0K950	surE
Q0KD79	trmD
Q0K6L6	rsmH
Q0K8K6	mobA
Q0K784	ppnP
Q0K619	rplC
Q0KD27	rph
Q0K5B8	rpmH
Q0K926	gltX
Q0K605	rplL
Q0K6X3	prmA
Q0KEC1	ruvC
Q0KCG3	lysS
Q0K7K0	metG
Q0KEG8	aspS
Q0K9E7	rpsR
Q0KA30	rnhB
Q0K620	rplD
Q0K603	rplA
