P72886	slr0984
P74340	sll1538
P72662	sll0712
P74468	sll0136
P72762	sll1027
P73066	slr2032
P73666	sll2012
Q55679	sll0006
P74390	slr0447
P74571	slr0659
P73546	slr1367
P73785	slr1247
Q55476	slr0534
P74463	slr0161
Q55136	slr0051
P74029	sll1218
P74654	slr1653
P72964	slr0692
P74018	sll1226
P73704	sll1694
P73723	sll1625
P73128	slr1020
Q55532	sll0300
P73853	slr1722
P72802	sll1667
P74668	slr1666
Q55689	sll0207
P73918	sll1981
P74527	sll1343
P74024	sll1221
P73711	sll1688
P73757	sll0842
Q55666	sll0016
P72763	slr1109
P72649	slr1124
P72691	slr0237
P74569	slr0657
P74022	sll1223
P73375	slr2072
P72893	slr1615
P73282	sll1070
P73479	slr1233
P73173	sll1294
Q55366	slr0898
P73490	sll1129
P73914	slr2089
P73043	sll1641
Q55662	sll0020
P72661	slr0721
P73589	sll1314
Q55551	slr0171
Q55120	slr0435
P74510	sll1841
P74614	sll1484
P74702	sll0430
P74429	slr0399
P73008	slr1044
Q55602	slr0387
P73644	slr1879
P72621	sll1395
P73684	sll1709
P74643	sll0726
Q55164	slr0467
P72864	sll0934
P72586	sll1212
Q55771	slr0201
Q55809	slr0089
Q55641	sll0320
P73842	sll1612
Q55419	slr0835
P73495	sll1127
P74305	sll0915
P74200	sll1167
P72754	slr1106
Q55139	sll0067
Q55628	sll0751
P74488	slr1933
P74172	sll1370
Q55172	slr0477
P74021	sll1224
P73196	sll1583
P73808	sll1957
P72877	sll0923
P73887	sll0244
P72885	slr0983
P73458	slr1751
P74189	slr1277
P73417	sll1713
Q55387	slr0559
P72715	sll0222
P73050	sll1636
P72665	sll0709
Q55199	sll0680
P73198	sll1581
P74344	sll1536
P73287	slr1890
P73753	slr0862
P73019	sll1009
P73394	sll1733
P74174	sll1182
P74730	sll0575
P73637	slr1877
P72842	sll1189
P74223	sll1104
P74183	slr1271
P72887	slr0985
P73544	sll1270
P74016	slr1331
P74275	sll1561
P72688	slr0743
P74044	sll0813
P73405	sll1721
P73736	slr1744
P72903	slr1067
P73608	slr1857
P74492	sll1854
P73085	slr2043
P73325	slr1897
Q55683	sll0002
P73388	slr1828
P74186	slr1274
P73218	slr1710
P74349	sll1533
Q55799	slr0079
P73480	ssr2049
Q55389	sll0554
Q55155	slr0063
P72862	slr0969
P73472	slr1227
P72900	slr1064
P73496	slr1239
Q55763	slr0191
P73037	slr1761
P73518	sll1354
P74663	sll1546
P73913	slr2088
P73679	slr2143
P74036	slr0809
P72932	ssr1789
P72719	sll0221
P74573	sll0626
P74013	sll1231
Q55406	sll0541
P74465	slr0163
Q55507	sll0895
P72782	slr1784
Q55745	sll0380
Q55145	slr0056
Q55753	sll0374
Q55808	slr0088
P75023	slr0257
P74686	slr0451
P73444	sll1457
P77970	slr0288
P73501	slr1435
P74665	sll1545
Q55174	slr0480
P73078	slr2041
P73710	sll1689
P73468	slr1224
P72908	slr1072
P74176	sll1180
P73020	slr1055
Q55440	sll0045
P73362	slr1211
P73521	slr1448
P73465	sll1143
P73449	sll1453
P73562	sll0873
Q55562	sll0166
P73029	sll1002
P72808	sll1662
Q55160	sll0053
Q55822	slr0502
Q55431	sll0823
P73547	slr1368
Q55552	slr0172
Q55420	slr0836
P73159	slr1379
P73462	slr1219
Q55444	sll0042
Q55728	slr0646
P72650	slr1125
P73144	ssr1720
P72573	ssr0102
P72730	slr1416
P72658	sll1045
P72694	slr0239
P74777	ssr1425
P72697	slr0242
P74216	sll1434
Q55586	sll0337
Q55144	slr0055
P73395	sll1732
Q55124	sll0404
P73581	slr0891
P73874	slr0260
P73368	slr1216
P73377	slr2074
Q79EF3	sll1900
P73823	slr1991
P73350	slr1200
P73965	slr1521
P73011	slr1047
P72956	slr0687
P73225	slr2007
P73650	slr1881
P74286	sll1557
Q55841	slr0518
P72951	sll0646
P73688	sll1704
P74731	sll0574
P74159	sll1382
P73117	sll1833
P74449	slr0150
P73806	sll1959
Q55685	slr0216
P73487	slr1237
Q55528	slr0323
P74136	sll1872
P74141	sll1869
P73119	sll1831
P73703	sll1695
P73507	sll1360
P72632	slr1118
P74017	slr1332
P73682	slr1803
Q55525	sll0306
P72610	slr1491
Q55198	sll0681
Q55879	sll0099
P73567	slr0883
P73273	sll1076
P73084	sll1937
P74586	slr1556
Q55869	sll0109
Q55453	slr0036
Q55902	slr0298
P73862	sll1594
Q55981	sll0661
P74677	sll0450
P73193	sll1283
P73363	slr1212
P73906	slr2081
P72884	slr0982
Q55614	sll0764
P72927	sll1023
