Organism	Metabolite	Conc	Module	Relation	Interactions	Description
Hydrogenophaga	AcCoA	High	M00009	Internal	6	Citrate cycle (TCA cycle, Krebs cycle)
Hydrogenophaga	AcCoA	High	M00374	Internal	6	Dicarboxylate-hydroxybutyrate cycle
Hydrogenophaga	ATP	High	M00374	Internal	6	Dicarboxylate-hydroxybutyrate cycle
Hydrogenophaga	AcCoA	High	M00011	Internal	5	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
Hydrogenophaga	AcCoA	Low	M00374	Internal	5	Dicarboxylate-hydroxybutyrate cycle
Hydrogenophaga	ATP	High	M00009	Internal	5	Citrate cycle (TCA cycle, Krebs cycle)
Hydrogenophaga	ATP	High	M00036	Internal	5	Leucine degradation, leucine => acetoacetate + acetyl-CoA
Hydrogenophaga	ATP	High	M00373	Internal	5	Ethylmalonyl pathway
Hydrogenophaga	GAP	High	M00009	External	5	Citrate cycle (TCA cycle, Krebs cycle)
Hydrogenophaga	GAP	High	M00011	External	5	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
Hydrogenophaga	GAP	High	M00374	External	5	Dicarboxylate-hydroxybutyrate cycle
Cupriavidus	G6P	High	M00036	External	4	Leucine degradation, leucine => acetoacetate + acetyl-CoA
Cupriavidus	G6P	High	M00088	External	4	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Hydrogenophaga	AcCoA	High	M00036	Internal	4	Leucine degradation, leucine => acetoacetate + acetyl-CoA
Hydrogenophaga	AcCoA	High	M00083	External	4	Fatty acid biosynthesis, elongation
Hydrogenophaga	AcCoA	High	M00088	Internal	4	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Hydrogenophaga	AcCoA	High	M00173	Internal	4	Reductive citrate cycle (Arnon-Buchanan cycle)
Hydrogenophaga	AcCoA	High	M00373	Internal	4	Ethylmalonyl pathway
Hydrogenophaga	AcCoA	High	M00572	External	4	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
