A0A4P6X2R8	HPF_22965
A0A4P6X192	HPF_07085
A0A4P6X5D6	HPF_14785
A0A4P6X326	HPF_17725
A0A4P6WZP0	HPF_03255
A0A4P6WRS9	HPF_02285
A0A4P6X654	HPF_16130
A0A4P6X1J8	HPF_07645
A0A4P6WZ72	HPF_08070
A0A4V1ABY8	HPF_18095
A0A4P6WZS6	HPF_18710
A0A4P6X101	HPF_18600
A0A4V1ABY2	HPF_17795
A0A4P6WUN2	HPF_00805
A0A4P6X368	HPF_22980
A0A4P6X170	HPF_19055
A0A4P6X427	HPF_12695
A0A4P6X1H3	HPF_07100
A0A4P6WY50	HPF_07480
A0A4P6WSH5	HPF_03345
A0A4P6WRC0	HPF_01485
A0A4P6X912	HPF_21780
A0A4P6WVV6	HPF_08225
A0A4P6WS79	HPF_01010
A0A4P6X961	HPF_22080
A0A4P6X252	HPF_08795
A0A4P6X3B1	HPF_15080
A0A4V1AB34	HPF_02695
A0A4P6WZ07	HPF_09440
A0A4P6X1F4	HPF_19565
A0A4P6WXS9	HPF_04535
A0A4P6WYM2	HPF_14140
A0A4V1AC25	HPF_19985
A0A4P6WX18	HPF_03425
A0A4P6X0Z3	HPF_13335
A0A4P6X5Z3	HPF_20655
A0A4V1ABU9	HPF_16140
A0A4P6WY67	HPF_07585
A0A4P6WZ05	HPF_02935
A0A4P6WY64	HPF_05300
A0A4P6WXK5	HPF_05285
A0A4P6X5H9	HPF_19700
A0A4P6X2F6	HPF_09400
A0A4P6X9U4	HPF_22900
A0A4P6WY88	HPF_13275
A0A4P6WST7	HPF_04050
A0A4V1ABP7	HPF_13455
A0A4P6X5J0	HPF_22875
A0A4P6WY21	HPF_06285
A0A4P6X817	HPF_19325
A0A4P6X753	HPF_21915
A0A4P6X4J7	HPF_17420
A0A4P6X0Y9	HPF_11105
A0A4P6WZ23	HPF_03035
A0A4P6X1J5	HPF_12110
A0A4P6X2R2	HPF_10060
A0A4P6WWQ5	HPF_03460
A0A4P6X0B3	HPF_10595
A0A4P6WXX6	HPF_06035
A0A4P6WYE3	HPF_06960
A0A4P6WYL7	HPF_06150
A0A4P6X4D0	HPF_12760
A0A4P6X1F6	HPF_07000
A0A4P6X6H3	HPF_23005
A0A4P6WVJ8	HPF_02105
A0A4P6X3E1	HPF_15235
A0A4P6X1A3	HPF_06700
A0A4P6WWN0	HPF_09840
A0A4P6X107	HPF_06080
A0A4P6WUS3	HPF_05610
A0A4P6WV32	HPF_01570
A0A4P6WWM9	HPF_04440
A0A4P6WUJ6	HPF_00605
A0A4P6X0B1	HPF_09835
A0A4P6X3G7	HPF_17005
A0A4P6X7H7	HPF_18655
A0A4V1AC90	HPF_23295
A0A4P6X381	HPF_10640
A0A4P6X106	HPF_13435
A0A4P6WUE4	HPF_05295
A0A4V1ABW6	HPF_16995
A0A4P6X1R2	HPF_20810
A0A4P6X715	HPF_17835
A0A4P6WX71	HPF_04470
A0A4P6WU61	HPF_04395
A0A4P6WVL1	HPF_02205
A0A4P6WW07	HPF_02050
A0A4P6X8Q1	HPF_21130
A0A4P6WY40	HPF_12690
A0A4P6WVL8	HPF_02255
A0A4P6WY66	HPF_00945
A0A4P6X5Y8	HPF_21900
A0A4P6WTX3	HPF_06220
A0A4P6X2A9	HPF_08660
A0A4P6X1J1	HPF_13115
A0A4P6WW48	HPF_03115
A0A4P6WXR9	HPF_14215
A0A4P6WYG5	HPF_01495
A0A4P6WS33	HPF_00760
A0A4P6X347	HPF_15000
A0A4P6X0H8	HPF_06015
A0A4P6WV16	HPF_01470
A0A4P6X3Q0	HPF_18950
A0A4P6X360	HPF_10490
A0A4P6X2A6	HPF_13080
A0A4P6X0H7	HPF_18115
A0A4P6X447	HPF_12310
A0A4V1AC61	HPF_21840
A0A4P6X5C5	HPF_14875
A0A4P6X771	HPF_22960
A0A4P6X1K5	HPF_19920
A0A4P6X943	HPF_21525
A0A4P6X899	HPF_19790
A0A4V1ABU1	HPF_15735
A0A4P6X140	HPF_18855
A0A4P6WWQ9	HPF_09990
A0A4P6X044	HPF_17415
A0A4P6WWZ2	HPF_10505
A0A4P6X362	HPF_14755
A0A4P6WVB6	HPF_02070
A0A4V1ABC0	HPF_07045
A0A4P6WXJ2	HPF_06205
A0A4P6X404	HPF_12100
A0A4P6X010	HPF_08930
A0A4P6WYC4	HPF_13475
