Q0K793	H16_A3053
Q0KBP1	H16_A1445
P27748	H16_B0143
Q0KDR8	H16_A0705
Q0KBK4	H16_A1483
Q9X6U2	H16_A1334
Q0K5M6	H16_A3638
Q0K7F5	H16_A2990
Q0K5T4	H16_A3579
Q0K5M7	H16_A3637
Q8KLU8	H16_A0168
P27745	H16_B0144
P27746	H16_B0145
Q0K3N1	H16_B0596
Q0KF09	H16_A0260
Q0K3S6	H16_B0551
Q0K998	H16_A2327
Q0K7L4	H16_A2931
Q0KDR7	H16_A0706
Q0KD76	H16_A0899
Q0K8N7	H16_A2551
P27749	H16_B0147
P52992	H16_A2323
Q0K7M0	H16_A2925
Q0K9U5	H16_A2129
Q0K292	H16_B1091
Q0KBW5	H16_A1370
Q8VM97	H16_A2261
Q0KF88	H16_A0181
P27747	H16_B0146
Q04540	PHG425
Q0KBK3	H16_A1484
Q0KEP0	H16_A0381
Q0K8Y4	H16_A2448
Q0K5M5	H16_A3639
Q0K846	H16_A2746
Q0KED8	H16_A0483
Q0K844	H16_A2748
Q0K623	H16_A3480
Q0K739	H16_A3107
Q0KF86	H16_A0183
Q0K7S4	H16_A2871
Q0K786	H16_A3060
Q0K8M2	H16_A2566
Q0KEX1	H16_A0299
Q0K572	H16_B0046
Q0K7N2	H16_A2913
Q0KCP6	H16_A1084
Q0K860	H16_A2732
Q0KDH9	H16_A0795
Q0K7H7	H16_A2968
Q0K8N9	H16_A2549
Q0K5M3	H16_A3641
Q0K5N1	H16_A3633
Q0K651	H16_A3452
Q0KED6	H16_A0485
Q7WXC1	PHG214
Q0KCA7	H16_A1223
Q0KEM6	H16_A0395
Q0K181	H16_B1455
Q0KC14	H16_A1317
Q0K9W2	H16_A2110
Q0KEQ3	H16_A0367
Q0KA17	H16_A2054
Q0K6L4	H16_A3283
Q0K5P5	H16_A3619
Q0KBD2	H16_A1557
P31638	H16_A2525
Q0KBT2	H16_A1403
Q0K9E3	H16_A2281
P19924	PHG421
