Ortholog	Version	Category	Description
COG0022	5.0	C	dehydrogenase e1 component
COG0022	5.0	C	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
COG1071	5.0	C	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
COG1028	5.0	IQ	Short-chain dehydrogenase reductase Sdr
COG1028	5.0	IQ	oxidoreductase activity, acting on CH-OH group of donors
COG0234	5.0	O	protein folding
COG0234	5.0	O	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
COG3199	5.0	G	ATP-NAD kinase
COG3199	5.0	S	ATP-NAD kinase
COG4569	5.0	Q	acetaldehyde dehydrogenase (acetylating) activity
COG0224	5.0	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex
COG0224	5.0	C	proton-transporting ATP synthase activity, rotational mechanism
COG0792	5.0	L	Belongs to the UPF0102 family
COG0792	5.0	L	nuclease activity
COG0037	5.0	J	tRNA processing
COG0037	5.0	D	tRNA processing
COG4579	5.0	F	[isocitrate dehydrogenase (NADP+)] phosphatase activity
COG0260	5.0	E	metalloexopeptidase activity
COG0260	5.0	E	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides
COG2127	5.0	S	Involved in the modulation of the specificity of the ClpAP-mediated ATP-dependent protein degradation
COG2127	5.0	T	Involved in the modulation of the specificity of the ClpAP-mediated ATP-dependent protein degradation
COG0740	5.0	OU	serine-type endopeptidase activity
COG0183	5.0	I	acetyl-CoA C-acyltransferase activity
COG0183	5.0	I	Belongs to the thiolase family
COG0055	5.0	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits
COG0055	5.0	C	proton-transporting ATP synthase activity, rotational mechanism
COG0239	5.0	D	fluoride transmembrane transporter activity
COG0239	5.0	D	Important for reducing fluoride concentration in the cell, thus reducing its toxicity
COG0459	5.0	O	protein refolding
COG1249	5.0	C	Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family
COG1249	5.0	C	cell redox homeostasis
COG0736	5.0	I	holo-[acyl-carrier-protein] synthase activity
COG0599	5.0	L	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity
COG0599	5.0	S	peroxiredoxin activity
COG3842	5.0	P	ATPase activity
COG0156	5.0	E	8-amino-7-oxononanoate synthase activity
COG0165	5.0	E	Argininosuccinate lyase
COG0165	5.0	E	argininosuccinate lyase activity
COG0717	5.0	F	Belongs to the dCTP deaminase family
COG0717	5.0	F	dUTP biosynthetic process
COG0464	5.0	O	growth
COG0464	5.0	O	ATPase activity
COG0508	5.0	C	dehydrogenase complex catalyzes the overall conversion of
COG0508	5.0	C	S-acyltransferase activity
COG0596	5.0	J	Alpha beta hydrolase
COG0596	5.0	S	hydrolase activity, acting on ester bonds
COG2220	5.0	J	Zn-dependent hydrolases of the beta-lactamase fold
COG2220	5.0	S	N-acetylphosphatidylethanolamine-hydrolysing phospholipas activity
COG3132	5.0	S	Protein of unknown function, DUF480
COG3132	5.0	Q	Protein of unknown function, DUF480
COG0190	5.0	F	Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate
COG0190	5.0	F	methenyltetrahydrofolate cyclohydrolase activity
COG1219	5.0	O	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP
COG1219	5.0	O	unfolded protein binding
COG1054	5.0	S	Rhodanese Homology Domain
COG1054	5.0	J	Belongs to the UPF0176 family
COG1968	5.0	V	undecaprenyl-diphosphatase activity
COG1513	5.0	P	cyanate hydratase activity
COG1513	5.0	P	Catalyzes the reaction of cyanate with bicarbonate to produce ammonia and carbon dioxide
COG0103	5.0	J	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
COG1666	5.0	S	tRNA binding
COG1666	5.0	S	GTP binding
COG0804	5.0	E	urea catabolic process
COG0804	5.0	E	Belongs to the metallo-dependent hydrolases superfamily. Urease alpha subunit family
COG0382	5.0	H	transferase activity, transferring alkyl or aryl (other than methyl) groups
COG0382	5.0	H	Catalyzes the prenylation of para-hydroxybenzoate (PHB) with an all-trans polyprenyl group. Mediates the second step in the final reaction sequence of ubiquinone-8 (UQ-8) biosynthesis, which is the condensation of the polyisoprenoid side chain with PHB, generating the first membrane-bound Q intermediate 3- octaprenyl-4-hydroxybenzoate
COG0056	5.0	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit
COG0293	5.0	J	Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit
COG0293	5.0	J	RNA methylation
COG0540	5.0	F	aspartate carbamoyltransferase activity
COG0540	5.0	F	Belongs to the ATCase OTCase family
COG0318	5.0	IQ	ligase activity
COG0318	5.0	IQ	PFAM AMP-dependent synthetase and ligase
COG0502	5.0	H	Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism
COG0502	5.0	H	biotin synthase activity
COG0236	5.0	IQ	fatty acid biosynthetic process
COG0236	5.0	IQ	Carrier of the growing fatty acid chain in fatty acid biosynthesis
COG1301	5.0	C	dicarboxylic acid transport
COG1414	5.0	K	negative regulation of transcription, DNA-templated
COG1414	5.0	K	Transcriptional regulator
COG0185	5.0	J	rRNA binding
COG0185	5.0	J	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA
COG1660	5.0	T	Displays ATPase and GTPase activities
COG1660	5.0	S	GTP binding
COG0218	5.0	D	Necessary for normal cell division and for the maintenance of normal septation
COG3058	5.0	O	Necessary for formate dehydrogenase activity
COG3058	5.0	O	ferric iron binding
COG0316	5.0	P	Belongs to the HesB IscA family
COG0316	5.0	S	protein maturation
COG0711	5.0	C	Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)
COG0711	5.0	C	ATP synthesis coupled proton transport
COG2941	5.0	H	Oxygenase that introduces the hydroxyl group at carbon five of 2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol resulting in the formation of 2-nonaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4- benzoquinol
COG2941	5.0	H	ubiquinone biosynthetic process
COG0669	5.0	H	pantetheine-phosphate adenylyltransferase activity
COG0669	5.0	H	Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate
COG1154	5.0	H	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)
COG1154	5.0	H	1-deoxy-D-xylulose-5-phosphate synthase activity
COG1495	5.0	O	Required for disulfide bond formation in some periplasmic proteins. Acts by oxidizing the DsbA protein
COG1495	5.0	O	protein disulfide oxidoreductase activity
COG0128	5.0	E	3-phosphoshikimate 1-carboxyvinyltransferase activity
COG0503	5.0	F	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis
COG0503	5.0	F	purine ribonucleoside salvage
COG0404	5.0	E	aminomethyltransferase activity
COG0404	5.0	E	The glycine cleavage system catalyzes the degradation of glycine
COG0231	5.0	J	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase
COG0231	5.0	J	translation elongation factor activity
COG0082	5.0	E	Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system
COG0082	5.0	E	chorismate synthase activity
COG4133	5.0	P	protoheme IX ABC transporter activity
COG0264	5.0	J	translation elongation factor activity
COG0264	5.0	J	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
COG0407	5.0	H	uroporphyrinogen decarboxylase activity
COG0407	5.0	H	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III
COG0825	5.0	I	malonyl-CoA metabolic process
COG0825	5.0	I	malonyl-CoA biosynthetic process
COG2038	5.0	H	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity
COG0451	5.0	GM	coenzyme binding
COG0451	5.0	GM	ADP-glyceromanno-heptose 6-epimerase activity
COG2170	5.0	J	ATP-dependent carboxylate-amine ligase which exhibits weak glutamate--cysteine ligase activity
COG2170	5.0	S	glutamate-cysteine ligase activity
COG0583	5.0	K	DNA-binding transcription factor activity
COG0365	5.0	I	acetate-CoA ligase activity
COG0365	5.0	I	Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA
31P80	5.0	K	Functions in complex with FlhC as a master transcriptional regulator that regulates transcription of several flagellar and non-flagellar operons by binding to their promoter region. Activates expression of class 2 flagellar genes, including fliA, which is a flagellum-specific sigma factor that turns on the class 3 genes. Also regulates genes whose products function in a variety of physiological pathways
COG0106	5.0	E	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
COG0106	5.0	E	1-(5-phosphoribosyl)-5- 5-phosphoribosylamino)methylideneamino imidazole-4-carboxamide isomerase
COG0131	5.0	E	Imidazoleglycerol-phosphate dehydratase
COG0131	5.0	E	imidazoleglycerol-phosphate dehydratase activity
COG2360	5.0	O	Functions in the N-end rule pathway of protein degradation where it conjugates Leu, Phe and, less efficiently, Met from aminoacyl-tRNAs to the N-termini of proteins containing an N-terminal arginine or lysine
COG2360	5.0	O	leucyltransferase activity
COG3954	5.0	G	Phosphoribulokinase
COG1974	5.0	K	SOS response
COG1974	5.0	K	Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair
COG2334	5.0	T	A protein kinase that phosphorylates Ser and Thr residues. Probably acts to suppress the effects of stress linked to accumulation of reactive oxygen species. Probably involved in the extracytoplasmic stress response
COG2334	5.0	S	homoserine kinase activity
COG1207	5.0	M	Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain
COG1207	5.0	M	glucosamine-1-phosphate N-acetyltransferase activity
COG0532	5.0	J	translation initiation factor activity
