KEGGgene	KO	Organism
reh:H16_A0377	ko:K10563	Cupriavidus
reh:H16_A3149	ko:K09761	Cupriavidus
reh:H16_A3532	ko:K02452	Cupriavidus
reh:H16_B1562	ko:K00688	Cupriavidus
reh:H16_A2143	ko:K11731	Cupriavidus
reh:H16_A3282	ko:K03925	Cupriavidus
reh:H16_B0344	ko:K07001	Cupriavidus
reh:H16_A0434	ko:K09386	Cupriavidus
reh:H16_B1458	ko:K02482	Cupriavidus
reh:H16_B1195	ko:K00121	Cupriavidus
reh:H16_A2133	ko:K07246	Cupriavidus
reh:H16_A3528	ko:K11746	Cupriavidus
reh:H16_A0968	ko:K09712	Cupriavidus
reh:H16_A0587	ko:K07638	Cupriavidus
reh:H16_A2440	ko:K02039	Cupriavidus
reh:H16_A2433	ko:K02518	Cupriavidus
reh:H16_B2277	ko:K15864	Cupriavidus
reh:H16_A2053	ko:K09903	Cupriavidus
reh:H16_A2088	ko:K00981	Cupriavidus
reh:H16_A0303	ko:K09158	Cupriavidus
reh:H16_A1106	ko:K09861	Cupriavidus
reh:H16_A1342	ko:K02887	Cupriavidus
reh:H16_A1174	ko:K09810	Cupriavidus
reh:H16_A0118	ko:K09921	Cupriavidus
reh:H16_A1821	ko:K09930	Cupriavidus
reh:H16_A2269	ko:K03564	Cupriavidus
reh:H16_A1930	ko:K09965	Cupriavidus
reh:H16_A2744	ko:K02204	Cupriavidus
reh:H16_B0266	ko:K02392	Cupriavidus
reh:H16_B0267	ko:K02393	Cupriavidus
reh:H16_B0268	ko:K02394	Cupriavidus
reh:H16_B0271	ko:K02397	Cupriavidus
reh:H16_A2457	ko:K08295	Cupriavidus
reh:H16_A2565	ko:K09458	Cupriavidus
reh:H16_A0218	ko:K08218	Cupriavidus
reh:H16_A0235	ko:K03147	Cupriavidus
reh:H16_A0237	ko:K03154	Cupriavidus
reh:H16_A1218	ko:K03768	Cupriavidus
reh:H16_A1499	ko:K03770	Cupriavidus
reh:H16_A0169	ko:K01673	Cupriavidus
reh:H16_A2394	ko:K03671	Cupriavidus
reh:H16_A2447	ko:K03798	Cupriavidus
reh:H16_A3643	ko:K02108	Cupriavidus
reh:H16_B0896	ko:K01548	Cupriavidus
reh:H16_B0895	ko:K07646	Cupriavidus
reh:H16_B0894	ko:K07667	Cupriavidus
reh:H16_A0116	ko:K05515	Cupriavidus
reh:H16_A0120	ko:K03566	Cupriavidus
